epochs,acc,loss,val_acc,val_loss,train_data,features_nb,loss_fct,optimizer,activation_fct,layer_nb,unit_nb,batch_size,dropout,cell_type,encoder
0,0.9190074915587876,0.028933357513073285,0.8708609165061779,0.04768825342298285,494021,4,mse,nadam,tanh,2,256,1024,0,CuDNNGRU,minmaxscaler11
1,0.9542367632008856,0.019437085456434636,0.8726774673744249,0.04681416903146875,494021,4,mse,nadam,tanh,2,256,1024,0,CuDNNGRU,minmaxscaler11
2,0.9613943536565875,0.014939635186944718,0.8701439415617194,0.04721278478295096,494021,4,mse,nadam,tanh,2,256,1024,0,CuDNNGRU,minmaxscaler11
3,0.9577831711343173,0.014305567616623991,0.8716807757475991,0.04638842768531824,494021,4,mse,nadam,tanh,2,256,1024,0,CuDNNGRU,minmaxscaler11
4,0.9661087281902963,0.010578256173621813,0.8681151918309868,0.08682535053695767,494021,4,mse,nadam,tanh,2,256,1024,0,CuDNNGRU,minmaxscaler11
5,0.9658354604103142,0.011512476252497034,0.8704493793183272,0.04742709813927294,494021,4,mse,nadam,tanh,2,256,1024,0,CuDNNGRU,minmaxscaler11
6,0.9658131941836778,0.01116088820403319,0.8706647933150928,0.047809796622278494,494021,4,mse,nadam,tanh,2,256,1024,0,CuDNNGRU,minmaxscaler11
7,0.8237504073544553,0.051289173907381656,0.7390082596799655,0.0778075013175224,494021,4,mse,nadam,tanh,2,256,1024,0,CuDNNGRU,minmaxscaler11
8,0.7923914165756237,0.05154203795522742,0.7390082596799655,0.07851415515477585,494021,4,mse,nadam,tanh,2,256,1024,0,CuDNNGRU,minmaxscaler11
9,0.7923914165551129,0.049028793635185336,0.7390082596799655,0.07675123608866158,494021,4,mse,nadam,tanh,2,256,1024,0,CuDNNGRU,minmaxscaler11
10,0.7923914165636792,0.04802758900250467,0.7390082596799655,0.07449856905999301,494021,4,mse,nadam,tanh,2,256,1024,0,CuDNNGRU,minmaxscaler11
11,0.7923914165850346,0.05020452404340147,0.7390082596799655,0.07716951957541313,494021,4,mse,nadam,tanh,2,256,1024,0,CuDNNGRU,minmaxscaler11
12,0.7923914165431684,0.048434414002266245,0.7390082596799655,0.07633274453785516,494021,4,mse,nadam,tanh,2,256,1024,0,CuDNNGRU,minmaxscaler11
13,0.7930958400529692,0.04860070913876304,0.7472229277655781,0.0728581377435125,494021,4,mse,nadam,tanh,2,256,1024,0,CuDNNGRU,minmaxscaler11
14,0.961825509416328,0.014296832466787639,0.8732433310077196,0.056609080397946175,494021,4,mse,nadam,tanh,2,256,1024,0,CuDNNGRU,minmaxscaler11
15,0.9615461690993888,0.01390401132724894,0.873224040202039,0.046280436718843604,494021,4,mse,nadam,tanh,2,256,1024,0,CuDNNGRU,minmaxscaler11
16,0.9637930371577637,0.01232614959935249,0.8730922196965556,0.04551598399966564,494021,4,mse,nadam,tanh,2,256,1024,0,CuDNNGRU,minmaxscaler11
17,0.9696065552074361,0.009789466083621875,0.9159596050672778,0.029685917935683107,494021,4,mse,nadam,tanh,2,256,1024,0,CuDNNGRU,minmaxscaler11
18,0.9850471943602932,0.005553208967992702,0.9164193692693297,0.02633897134388908,494021,4,mse,nadam,tanh,2,256,1024,0,CuDNNGRU,minmaxscaler11
19,0.9868183741168549,0.004497074888601988,0.9172135074365102,0.026518873872744278,494021,4,mse,nadam,tanh,2,256,1024,0,CuDNNGRU,minmaxscaler11
20,0.9847840476494212,0.005888945656575456,0.8707676776120554,0.05220421525232919,494021,4,mse,nadam,tanh,2,256,1024,0,CuDNNGRU,minmaxscaler11
21,0.9656613787750211,0.0108820945516204,0.8713946287966717,0.043840241119572604,494021,4,mse,nadam,tanh,2,256,1024,0,CuDNNGRU,minmaxscaler11
22,0.9666633604729999,0.009596223742714337,0.8801944513129711,0.033159799877541855,494021,4,mse,nadam,tanh,2,256,1024,0,CuDNNGRU,minmaxscaler11
23,0.9867151396500683,0.0048921383515285145,0.9157506213390724,0.028345573240328447,494021,4,mse,nadam,tanh,2,256,1024,0,CuDNNGRU,minmaxscaler11
24,0.9881786401886745,0.003856360636486969,0.9172649495849916,0.027580593927306173,494021,4,mse,nadam,tanh,2,256,1024,0,CuDNNGRU,minmaxscaler11
25,0.9890045160237115,0.0036695603486567845,0.9145256551783607,0.027323085957998972,494021,4,mse,nadam,tanh,2,256,1024,0,CuDNNGRU,minmaxscaler11
26,0.9799259545518954,0.009308907394719129,0.869475193631462,0.0394715553687416,494021,4,mse,nadam,tanh,2,256,1024,0,CuDNNGRU,minmaxscaler11
27,0.9814906653979285,0.007119574855918551,0.9169627269626638,0.03101150574213069,494021,4,mse,nadam,tanh,2,256,1024,0,CuDNNGRU,minmaxscaler11
28,0.9872272636286036,0.004973118881557318,0.9143874044043171,0.03097672130322073,494021,4,mse,nadam,tanh,2,256,1024,0,CuDNNGRU,minmaxscaler11
29,0.9878648883227619,0.0046312881352278765,0.9146671210866844,0.03070775270959813,494021,4,mse,nadam,tanh,2,256,1024,0,CuDNNGRU,minmaxscaler11
30,0.987885130378094,0.004474709616088785,0.9145931729982424,0.03124116128638889,494021,4,mse,nadam,tanh,2,256,1024,0,CuDNNGRU,minmaxscaler11
31,0.966711941402081,0.012634760307547498,0.8639773140125198,0.050980199911597544,494021,4,mse,nadam,tanh,2,256,1024,0,CuDNNGRU,minmaxscaler11
32,0.9562123877419162,0.014777782539096639,0.8730793591594352,0.046860871905466506,494021,4,mse,nadam,tanh,2,256,1024,0,CuDNNGRU,minmaxscaler11
33,0.970944554975764,0.010079953886071776,0.8763491507222799,0.04170431161313427,494021,4,mse,nadam,tanh,2,256,1024,0,CuDNNGRU,minmaxscaler11
34,0.9609652221228067,0.01338449060550503,0.87287359056551,0.046125173594213295,494021,4,mse,nadam,tanh,2,256,1024,0,CuDNNGRU,minmaxscaler11
35,0.9796122027192827,0.006988113997681945,0.9167987551143795,0.030206390043157914,494021,4,mse,nadam,tanh,2,256,1024,0,CuDNNGRU,minmaxscaler11
36,0.9871240291387725,0.004771906317475137,0.9168405518600206,0.03345011903105172,494021,4,mse,nadam,tanh,2,256,1024,0,CuDNNGRU,minmaxscaler11
37,0.9876179352691136,0.0045253851244376276,0.9187310508167096,0.02817171610272784,494021,4,mse,nadam,tanh,2,256,1024,0,CuDNNGRU,minmaxscaler11
38,0.9831505138206641,0.0068544592624503594,0.9167891097115393,0.03187882113482175,494021,4,mse,nadam,tanh,2,256,1024,0,CuDNNGRU,minmaxscaler11
39,0.9879235902918758,0.004093958738772868,0.9181876931233754,0.028509729866288486,494021,4,mse,nadam,tanh,2,256,1024,0,CuDNNGRU,minmaxscaler11
40,0.9886401589985355,0.0037122357188829743,0.9205058049393154,0.0272309303908332,494021,4,mse,nadam,tanh,2,256,1024,0,CuDNNGRU,minmaxscaler11
41,0.989636068100679,0.003404424605743487,0.9200942677514649,0.026893187590816003,494021,4,mse,nadam,tanh,2,256,1024,0,CuDNNGRU,minmaxscaler11
42,0.9906765096910842,0.003224892033874778,0.9227499686668136,0.025006271060047436,494021,4,mse,nadam,tanh,2,256,1024,0,CuDNNGRU,minmaxscaler11
43,0.9911299317013502,0.003118598633228324,0.9220201331852347,0.0267458832403669,494021,4,mse,nadam,tanh,2,256,1024,0,CuDNNGRU,minmaxscaler11
44,0.9912554324502731,0.0030235310510000127,0.9222773439276413,0.026988869596572224,494021,4,mse,nadam,tanh,2,256,1024,0,CuDNNGRU,minmaxscaler11
45,0.9914760708766429,0.0029709109700756346,0.9222194715105998,0.02657261302836783,494021,4,mse,nadam,tanh,2,256,1024,0,CuDNNGRU,minmaxscaler11
46,0.9916299104685484,0.0029216206428722322,0.9208208880987636,0.027801837575667173,494021,4,mse,nadam,tanh,2,256,1024,0,CuDNNGRU,minmaxscaler11
47,0.9917716048286059,0.002879273002020844,0.9214414090148196,0.02797625649893287,494021,4,mse,nadam,tanh,2,256,1024,0,CuDNNGRU,minmaxscaler11
48,0.9733047785512138,0.008843826050121295,0.8791945445601536,0.039832753436207013,494021,4,mse,nadam,tanh,2,256,1024,0,CuDNNGRU,minmaxscaler11
49,0.9778126840950048,0.00724800640642303,0.8571387233987827,0.051087241611309495,494021,4,mse,nadam,tanh,2,256,1024,0,CuDNNGRU,minmaxscaler11
50,0.9460124164933552,0.01304867391067433,0.863639724913111,0.048019398515618976,494021,4,mse,nadam,tanh,2,256,1024,0,CuDNNGRU,minmaxscaler11
51,0.9527914805002182,0.01173395786340111,0.8766192220018069,0.04165471840948593,494021,4,mse,nadam,tanh,2,256,1024,0,CuDNNGRU,minmaxscaler11
52,0.9681896113813622,0.007949450514803585,0.8733269244990017,0.04338668398371409,494021,4,mse,nadam,tanh,2,256,1024,0,CuDNNGRU,minmaxscaler11
53,0.9865127190940927,0.004292519861047126,0.9214574846862201,0.02596043971605286,494021,4,mse,nadam,tanh,2,256,1024,0,CuDNNGRU,minmaxscaler11
54,0.9915307243904594,0.0029869836253442667,0.920914126992886,0.027351968316875884,494021,4,mse,nadam,tanh,2,256,1024,0,CuDNNGRU,minmaxscaler11
55,0.9917311207298862,0.0028752438425585524,0.9220104877823944,0.02689848344929442,494021,4,mse,nadam,tanh,2,256,1024,0,CuDNNGRU,minmaxscaler11
56,0.9920711872563773,0.0027714557758646936,0.9225056184615272,0.026123263583653366,494021,4,mse,nadam,tanh,2,256,1024,0,CuDNNGRU,minmaxscaler11
57,0.9922270510545761,0.002726218762353459,0.9213706760606578,0.028579656580274428,494021,4,mse,nadam,tanh,2,256,1024,0,CuDNNGRU,minmaxscaler11
58,0.9922027606327464,0.002688719415574313,0.9227531838010936,0.027634865758264418,494021,4,mse,nadam,tanh,2,256,1024,0,CuDNNGRU,minmaxscaler11
59,0.9923970843447271,0.0026467881086048263,0.921299943106496,0.02772707677399681,494021,4,mse,nadam,tanh,2,256,1024,0,CuDNNGRU,minmaxscaler11
60,0.9813712372653519,0.007448662884706254,0.9171138382738276,0.02884481970916003,494021,4,mse,nadam,tanh,2,256,1024,0,CuDNNGRU,minmaxscaler11
61,0.9888607974035499,0.004341678994630879,0.9171492047509086,0.02761470601120979,494021,4,mse,nadam,tanh,2,256,1024,0,CuDNNGRU,minmaxscaler11
62,0.9891826460699021,0.003905818700062127,0.9156188008335889,0.027971490837561244,494021,4,mse,nadam,tanh,2,256,1024,0,CuDNNGRU,minmaxscaler11
63,0.98930004999703,0.003573207830129229,0.915191187974338,0.02778875431179898,494021,4,mse,nadam,tanh,2,256,1024,0,CuDNNGRU,minmaxscaler11
64,0.9893364856951077,0.003229526725060859,0.92145105441766,0.027015694874793227,494021,4,mse,nadam,tanh,2,256,1024,0,CuDNNGRU,minmaxscaler11
65,0.9908546397705749,0.002985698682446392,0.9175671722073194,0.027831961712453477,494021,4,mse,nadam,tanh,2,256,1024,0,CuDNNGRU,minmaxscaler11
66,0.9915712085327345,0.0028635516039411243,0.9164065087322094,0.02797889829988335,494021,4,mse,nadam,tanh,2,256,1024,0,CuDNNGRU,minmaxscaler11
67,0.99172504811354,0.002799080572568073,0.9199656623802615,0.027217860862662216,494021,4,mse,nadam,tanh,2,256,1024,0,CuDNNGRU,minmaxscaler11
68,0.9919962916334178,0.0027373410847175306,0.9202711001368694,0.027653108000431637,494021,4,mse,nadam,tanh,2,256,1024,0,CuDNNGRU,minmaxscaler11
69,0.9921744217351084,0.002707124186860554,0.9208658999786847,0.0275472037074881,494021,4,mse,nadam,tanh,2,256,1024,0,CuDNNGRU,minmaxscaler11
70,0.9922007363948423,0.0026918430958940416,0.9196988062350145,0.02771022083363906,494021,4,mse,nadam,tanh,2,256,1024,0,CuDNNGRU,minmaxscaler11
71,0.9922189542327811,0.002660281316683899,0.9206183346391184,0.02806788105918207,494021,4,mse,nadam,tanh,2,256,1024,0,CuDNNGRU,minmaxscaler11
72,0.9923201645376744,0.002644422354168116,0.9216921894886662,0.028768762101632775,494021,4,mse,nadam,tanh,2,256,1024,0,CuDNNGRU,minmaxscaler11
73,0.9924153022040213,0.0026071300924597487,0.9213996122691785,0.028731967358798648,494021,4,mse,nadam,tanh,2,256,1024,0,CuDNNGRU,minmaxscaler11
74,0.9924476894706905,0.002597193781621857,0.9196955911007345,0.028249201438173256,494021,4,mse,nadam,tanh,2,256,1024,0,CuDNNGRU,minmaxscaler11
75,0.9925205608660012,0.002594729871031129,0.9215217873718218,0.027424792806856026,494021,4,mse,nadam,tanh,2,256,1024,0,CuDNNGRU,minmaxscaler11
76,0.9925144882282995,0.0025845110997156843,0.9207662308160022,0.02763253520389068,494021,4,mse,nadam,tanh,2,256,1024,0,CuDNNGRU,minmaxscaler11
77,0.9924982945949649,0.0025857659026341647,0.9223737979560438,0.028014950600801402,494021,4,mse,nadam,tanh,2,256,1024,0,CuDNNGRU,minmaxscaler11
78,0.9794239516125484,0.00752788356978888,0.9138922737251843,0.03326704615782827,494021,4,mse,nadam,tanh,2,256,1024,0,CuDNNGRU,minmaxscaler11
79,0.9880409941968037,0.004795990550323157,0.918673178399668,0.029783653035400176,494021,4,mse,nadam,tanh,2,256,1024,0,CuDNNGRU,minmaxscaler11
80,0.9890753631700181,0.004236226232338913,0.9175446662673589,0.030027285169664856,494021,4,mse,nadam,tanh,2,256,1024,0,CuDNNGRU,minmaxscaler11
81,0.9891725250426584,0.003990687276450616,0.917628259758641,0.02831318049906601,494021,4,mse,nadam,tanh,2,256,1024,0,CuDNNGRU,minmaxscaler11
82,0.9893648245713902,0.0037651476313446917,0.9176539808328816,0.028947143748711275,494021,4,mse,nadam,tanh,2,256,1024,0,CuDNNGRU,minmaxscaler11
83,0.9896320196692706,0.003605482314622957,0.9189239588735145,0.029384094805702123,494021,4,mse,nadam,tanh,2,256,1024,0,CuDNNGRU,minmaxscaler11
84,0.9897878834999249,0.0034966786376395935,0.9180108607379709,0.029669764439474697,494021,4,mse,nadam,tanh,2,256,1024,0,CuDNNGRU,minmaxscaler11
85,0.9898546822686338,0.0033606388697025426,0.9195251889838901,0.02960825122469842,494021,4,mse,nadam,tanh,2,256,1024,0,CuDNNGRU,minmaxscaler11
86,0.9906420982104,0.003019374054266961,0.9210170112898487,0.028240563345857613,494021,4,mse,nadam,tanh,2,256,1024,0,CuDNNGRU,minmaxscaler11
87,0.9920509452018897,0.0027652130411331055,0.9211166804525313,0.02913898187879638,494021,4,mse,nadam,tanh,2,256,1024,0,CuDNNGRU,minmaxscaler11
88,0.9923302855435626,0.002691838618977075,0.9202550244654689,0.028964239035308637,494021,4,mse,nadam,tanh,2,256,1024,0,CuDNNGRU,minmaxscaler11
89,0.9924436410811485,0.0026333799629993477,0.9204575779251142,0.02962050782846903,494021,4,mse,nadam,tanh,2,256,1024,0,CuDNNGRU,minmaxscaler11
90,0.9925144882496549,0.002606554706041952,0.9222580531219609,0.028038815707469918,494021,4,mse,nadam,tanh,2,256,1024,0,CuDNNGRU,minmaxscaler11
91,0.9925772385972109,0.00257858054875459,0.923537676565434,0.027987048838415834,494021,4,mse,nadam,tanh,2,256,1024,0,CuDNNGRU,minmaxscaler11
92,0.9925185366827524,0.002579507309020046,0.921724340831467,0.02867953023323454,494021,4,mse,nadam,tanh,2,256,1024,0,CuDNNGRU,minmaxscaler11
93,0.9752217011120304,0.008835797999477306,0.879879368153523,0.03458554069788582,494021,4,mse,nadam,tanh,2,256,1024,0,CuDNNGRU,minmaxscaler11
94,0.9886867157682568,0.004570993933343806,0.91449671896984,0.030061688201047612,494021,4,mse,nadam,tanh,2,256,1024,0,CuDNNGRU,minmaxscaler11
95,0.9891462104051245,0.004134837188129952,0.9158663661731554,0.02986394985792836,494021,4,mse,nadam,tanh,2,256,1024,0,CuDNNGRU,minmaxscaler11
96,0.9894538895889355,0.003973867990005765,0.9184095373887012,0.029407951049126385,494021,4,mse,nadam,tanh,2,256,1024,0,CuDNNGRU,minmaxscaler11
97,0.9894903252878577,0.0038823515120864046,0.9147378540408462,0.030741573520257783,494021,4,mse,nadam,tanh,2,256,1024,0,CuDNNGRU,minmaxscaler11
98,0.9846322322288199,0.005530966331361405,0.862170408547113,0.05166804018597618,494021,4,mse,nadam,tanh,2,256,1024,0,CuDNNGRU,minmaxscaler11
99,0.9791203207952349,0.007493341710759086,0.9143134563158752,0.0292588044329904,494021,4,mse,nadam,tanh,2,256,1024,0,CuDNNGRU,minmaxscaler11
0,0.9095281374875067,0.0328562715523954,0.8706776538522132,0.04937518686011581,494021,4,mse,nadam,tanh,2,256,1024,0,CuDNNGRU,minmaxscaler11
1,0.9588883873545827,0.01593201065375721,0.8708577013718978,0.04759873207626011,494021,4,mse,nadam,tanh,2,256,1024,0,CuDNNGRU,minmaxscaler11
2,0.9626534094568139,0.013625835908339422,0.8717965205816821,0.0483892051465196,494021,4,mse,nadam,tanh,2,256,1024,0,CuDNNGRU,minmaxscaler11
3,0.9639691429985054,0.012154022606062485,0.8704333036469268,0.04622198622035898,494021,4,mse,nadam,tanh,2,256,1024,0,CuDNNGRU,minmaxscaler11
4,0.9641472730993514,0.013303373218708718,0.8705394030781696,0.04603729967995226,494021,4,mse,nadam,tanh,2,256,1024,0,CuDNNGRU,minmaxscaler11
5,0.9114410116239129,0.029551231661485135,0.7390082596799655,0.07764083282796472,494021,4,mse,nadam,tanh,2,256,1024,0,CuDNNGRU,minmaxscaler11
6,0.7923914165423238,0.0483219311327452,0.7390082596799655,0.0774305480725569,494021,4,mse,nadam,tanh,2,256,1024,0,CuDNNGRU,minmaxscaler11
7,0.7923914165764684,0.04853678774320311,0.7390082596799655,0.07744217239908435,494021,4,mse,nadam,tanh,2,256,1024,0,CuDNNGRU,minmaxscaler11
8,0.7923914165653684,0.04735673105677029,0.7390082596799655,0.07709681480298261,494021,4,mse,nadam,tanh,2,256,1024,0,CuDNNGRU,minmaxscaler11
9,0.792923782595013,0.04838720373494813,0.7390082596799655,0.07673218537009509,494021,4,mse,nadam,tanh,2,256,1024,0,CuDNNGRU,minmaxscaler11
10,0.7927152894158139,0.04732470512324683,0.7392526098852519,0.07400276549317503,494021,4,mse,nadam,tanh,2,256,1024,0,CuDNNGRU,minmaxscaler11
11,0.8879035506579331,0.029398624479255793,0.9164579508806907,0.031672054914696504,494021,4,mse,nadam,tanh,2,256,1024,0,CuDNNGRU,minmaxscaler11
12,0.9646593970565314,0.012391908390154015,0.873297988290481,0.046165531450923177,494021,4,mse,nadam,tanh,2,256,1024,0,CuDNNGRU,minmaxscaler11
13,0.9213818845597102,0.02086369627193616,0.7390146899485257,0.07390899343431312,494021,4,mse,nadam,tanh,2,256,1024,0,CuDNNGRU,minmaxscaler11
14,0.7935391410659132,0.044916174791292535,0.7393876455250153,0.07414826647158777,494021,4,mse,nadam,tanh,2,256,1024,0,CuDNNGRU,minmaxscaler11
15,0.7936990532810421,0.046351204377012026,0.7393040520337332,0.07643704653919596,494021,4,mse,nadam,tanh,2,256,1024,0,CuDNNGRU,minmaxscaler11
16,0.7935715283539377,0.04633704459112496,0.7393587093164946,0.07229155446350342,494021,4,mse,nadam,tanh,2,256,1024,0,CuDNNGRU,minmaxscaler11
17,0.7935674799072067,0.04504916480218277,0.7393780001221751,0.07426357027823371,494021,4,mse,nadam,tanh,2,256,1024,0,CuDNNGRU,minmaxscaler11
18,0.795690871457941,0.04654279248988613,0.7484318182548895,0.07138054361591485,494021,4,mse,nadam,tanh,2,256,1024,0,CuDNNGRU,minmaxscaler11
19,0.9098702281647911,0.022697654670204966,0.8759794102800703,0.04275593020106978,494021,4,mse,nadam,tanh,2,256,1024,0,CuDNNGRU,minmaxscaler11
20,0.9819724262725325,0.006840295265123482,0.9179594185894896,0.029036669570324167,494021,4,mse,nadam,tanh,2,256,1024,0,CuDNNGRU,minmaxscaler11
21,0.9875936447926286,0.004726361602486932,0.917740789458444,0.02894646687476224,494021,4,mse,nadam,tanh,2,256,1024,0,CuDNNGRU,minmaxscaler11
22,0.9878628641284131,0.00448852621013001,0.9178468888896867,0.03037835309468929,494021,4,mse,nadam,tanh,2,256,1024,0,CuDNNGRU,minmaxscaler11
23,0.9560868870135041,0.01812365169294097,0.8728125030141883,0.040528496739666034,494021,4,mse,nadam,tanh,2,256,1024,0,CuDNNGRU,minmaxscaler11
24,0.9314017015667665,0.021143898213812882,0.8710473942944227,0.0484480360979579,494021,4,mse,nadam,tanh,2,256,1024,0,CuDNNGRU,minmaxscaler11
25,0.9656593545601615,0.012201368504082011,0.8751595510386492,0.039709749000813706,494021,4,mse,nadam,tanh,2,256,1024,0,CuDNNGRU,minmaxscaler11
26,0.9782053799537526,0.007698746470527789,0.917358188479114,0.03039198240915624,494021,4,mse,nadam,tanh,2,256,1024,0,CuDNNGRU,minmaxscaler11
27,0.9876179352477582,0.005187542549634911,0.917049535588226,0.029481892636189402,494021,4,mse,nadam,tanh,2,256,1024,0,CuDNNGRU,minmaxscaler11
28,0.9877353392073415,0.0046573102129679415,0.9172135074365102,0.029096753785144206,494021,4,mse,nadam,tanh,2,256,1024,0,CuDNNGRU,minmaxscaler11
29,0.987747484428934,0.004481666391382076,0.9170816869310269,0.029299961363505125,494021,4,mse,nadam,tanh,2,256,1024,0,CuDNNGRU,minmaxscaler11
30,0.9880612362410358,0.004269641240674875,0.9153648052254624,0.02967152807400524,494021,4,mse,nadam,tanh,2,256,1024,0,CuDNNGRU,minmaxscaler11
31,0.9888567490140079,0.004043601062271008,0.9185124216856638,0.028351677527416682,494021,4,mse,nadam,tanh,2,256,1024,0,CuDNNGRU,minmaxscaler11
32,0.9682867732207026,0.011245615411848263,0.8720440859212485,0.05021872043910872,494021,4,mse,nadam,tanh,2,256,1024,0,CuDNNGRU,minmaxscaler11
33,0.9630299116702826,0.014096665982613728,0.8748894797591221,0.04708796396366075,494021,4,mse,nadam,tanh,2,256,1024,0,CuDNNGRU,minmaxscaler11
34,0.9722137318023896,0.010449195287058137,0.8755646579579396,0.04219826094546071,494021,4,mse,nadam,tanh,2,256,1024,0,CuDNNGRU,minmaxscaler11
35,0.9684993148030774,0.01127195224278319,0.8706422873751323,0.04786343687698952,494021,4,mse,nadam,tanh,2,256,1024,0,CuDNNGRU,minmaxscaler11
36,0.97207406162727,0.009379297314266536,0.8767285365673297,0.035548399184969874,494021,4,mse,nadam,tanh,2,256,1024,0,CuDNNGRU,minmaxscaler11
37,0.9869580442714636,0.005656967610986791,0.9173035311963526,0.029623229746381933,494021,4,mse,nadam,tanh,2,256,1024,0,CuDNNGRU,minmaxscaler11
38,0.987755581239629,0.004811048262551863,0.9150304312603338,0.031635350054448466,494021,4,mse,nadam,tanh,2,256,1024,0,CuDNNGRU,minmaxscaler11
39,0.987929662897122,0.004549793120435083,0.9160303380214396,0.029372492253729964,494021,4,mse,nadam,tanh,2,256,1024,0,CuDNNGRU,minmaxscaler11
40,0.9880065827366302,0.004428593687610321,0.9149404075004914,0.030572302373276745,494021,4,mse,nadam,tanh,2,256,1024,0,CuDNNGRU,minmaxscaler11
41,0.9879741954502946,0.004366061303547902,0.9147346389065661,0.028722302112792017,494021,4,mse,nadam,tanh,2,256,1024,0,CuDNNGRU,minmaxscaler11
42,0.9578074616108024,0.01589805800697383,0.8633760839021442,0.05174713179874325,494021,4,mse,nadam,tanh,2,256,1024,0,CuDNNGRU,minmaxscaler11
43,0.9446865618808645,0.015182500019719406,0.8628616624173309,0.04829060420474862,494021,4,mse,nadam,tanh,2,256,1024,0,CuDNNGRU,minmaxscaler11
44,0.9446906103037066,0.01390375312847561,0.8633792990364243,0.04839643120346097,494021,4,mse,nadam,tanh,2,256,1024,0,CuDNNGRU,minmaxscaler11
45,0.944682513492167,0.013752669925726593,0.8633792990364243,0.04958101253861229,494021,4,mse,nadam,tanh,2,256,1024,0,CuDNNGRU,minmaxscaler11
46,0.9446825135135224,0.013666424530112133,0.8633792990364243,0.04939484818728552,494021,4,mse,nadam,tanh,2,256,1024,0,CuDNNGRU,minmaxscaler11
47,0.9446926344980554,0.013553762744407926,0.8633792990364243,0.04979542749841868,494021,4,mse,nadam,tanh,2,256,1024,0,CuDNNGRU,minmaxscaler11
48,0.9468888974082668,0.015130617418805944,0.853248410919882,0.053118279694417,494021,4,mse,nadam,tanh,2,256,1024,0,CuDNNGRU,minmaxscaler11
49,0.950945405130108,0.01388408834741281,0.8709702310717007,0.046167905284870144,494021,4,mse,nadam,tanh,2,256,1024,0,CuDNNGRU,minmaxscaler11
50,0.9669649670951201,0.011895188396890832,0.8757511357461845,0.04682379212523038,494021,4,mse,nadam,tanh,2,256,1024,0,CuDNNGRU,minmaxscaler11
51,0.9737582005597906,0.00978879689116385,0.8739731664892985,0.04442642972674948,494021,4,mse,nadam,tanh,2,256,1024,0,CuDNNGRU,minmaxscaler11
52,0.9679021741956942,0.011882977694538761,0.8708159046262567,0.04865691011277142,494021,4,mse,nadam,tanh,2,256,1024,0,CuDNNGRU,minmaxscaler11
53,0.9699304280561926,0.011140746332237404,0.8760372826971119,0.04460722901001398,494021,4,mse,nadam,tanh,2,256,1024,0,CuDNNGRU,minmaxscaler11
54,0.9754038795802186,0.008061020370480364,0.9168694880685414,0.02875463045750412,494021,4,mse,nadam,tanh,2,256,1024,0,CuDNNGRU,minmaxscaler11
55,0.9877596296291711,0.004656705122979572,0.9171074080052675,0.028070164351198107,494021,4,mse,nadam,tanh,2,256,1024,0,CuDNNGRU,minmaxscaler11
56,0.9474617475963538,0.017434751280882316,0.8721855518295721,0.04805361358063703,494021,4,mse,nadam,tanh,2,256,1024,0,CuDNNGRU,minmaxscaler11
57,0.963390220271772,0.01169656629234882,0.8712820990968688,0.046035248273426504,494021,4,mse,nadam,tanh,2,256,1024,0,CuDNNGRU,minmaxscaler11
58,0.9677786976872093,0.009996310184066971,0.8736645135984105,0.040929688308989194,494021,4,mse,nadam,tanh,2,256,1024,0,CuDNNGRU,minmaxscaler11
59,0.9820756607282191,0.0068685920207302775,0.9148986107548503,0.02948718069854187,494021,4,mse,nadam,tanh,2,256,1024,0,CuDNNGRU,minmaxscaler11
60,0.9875106524016849,0.005308808631974157,0.9149789891118524,0.028421347578615853,494021,4,mse,nadam,tanh,2,256,1024,0,CuDNNGRU,minmaxscaler11
61,0.9876098384473185,0.004984535022550573,0.9149275469633711,0.029119042919291495,494021,4,mse,nadam,tanh,2,256,1024,0,CuDNNGRU,minmaxscaler11
62,0.9878163073808918,0.0048340921638283015,0.9143231017187154,0.031511333100365614,494021,4,mse,nadam,tanh,2,256,1024,0,CuDNNGRU,minmaxscaler11
63,0.987949904984065,0.00469271526984482,0.9151397458258566,0.028647630410367806,494021,4,mse,nadam,tanh,2,256,1024,0,CuDNNGRU,minmaxscaler11
64,0.9767580730134919,0.008351553875814337,0.8714653617508336,0.04907430694425896,494021,4,mse,nadam,tanh,2,256,1024,0,CuDNNGRU,minmaxscaler11
65,0.973128672666072,0.008481590726515317,0.9170366750511056,0.03157239901271503,494021,4,mse,nadam,tanh,2,256,1024,0,CuDNNGRU,minmaxscaler11
66,0.9838104048413585,0.006238423909256704,0.876159457799755,0.045126335697607725,494021,4,mse,nadam,tanh,2,256,1024,0,CuDNNGRU,minmaxscaler11
67,0.9855188342187534,0.0055216364803843815,0.9151461760944167,0.02938307132662544,494021,4,mse,nadam,tanh,2,256,1024,0,CuDNNGRU,minmaxscaler11
68,0.9881057688044638,0.004423869911271903,0.9162553974210454,0.029537322640473047,494021,4,mse,nadam,tanh,2,256,1024,0,CuDNNGRU,minmaxscaler11
69,0.9882636567859114,0.00429812134672235,0.9160399834242798,0.029883804613217272,494021,4,mse,nadam,tanh,2,256,1024,0,CuDNNGRU,minmaxscaler11
70,0.9882879472837519,0.0042451412077675775,0.9159981866786387,0.029636942376061102,494021,4,mse,nadam,tanh,2,256,1024,0,CuDNNGRU,minmaxscaler11
71,0.9882312695311867,0.004200151128942574,0.9151365306915765,0.028951060586068684,494021,4,mse,nadam,tanh,2,256,1024,0,CuDNNGRU,minmaxscaler11
