epochs,acc,loss,val_acc,val_loss,train_data,features_nb,loss_fct,optimizer,activation_fct,layer_nb,unit_nb,batch_size,dropout,cell_type,encoder
0,0.8488748454270078,0.061950997398352074,0.8606818013754345,0.05273147036767038,494021,4,mse,nadam,tanh,2,4,1024,0.2,CuDNNLSTM,standarscaler
1,0.9349056011516299,0.029253572942979058,0.8612283742030485,0.04669129200555742,494021,4,mse,nadam,tanh,2,4,1024,0.2,CuDNNLSTM,standarscaler
2,0.9549108236375213,0.01935571483019385,0.9073076786641908,0.03835532691834645,494021,4,mse,nadam,tanh,2,4,1024,0.2,CuDNNLSTM,standarscaler
3,0.9716024217568652,0.014839880327617596,0.9099151525653383,0.03364240264646823,494021,4,mse,nadam,tanh,2,4,1024,0.2,CuDNNLSTM,standarscaler
4,0.973181302029095,0.013075887420400613,0.9165801259279508,0.03132406059412769,494021,4,mse,nadam,tanh,2,4,1024,0.2,CuDNNLSTM,standarscaler
5,0.9757216798570286,0.012100841459084468,0.9168148307303968,0.03102665498955591,494021,4,mse,nadam,tanh,2,4,1024,0.2,CuDNNLSTM,standarscaler
6,0.976545531442217,0.011642437345621403,0.9169562966387205,0.03338296413154777,494021,4,mse,nadam,tanh,2,4,1024,0.2,CuDNNLSTM,standarscaler
7,0.9763451351463456,0.011382677022635134,0.9169595117730006,0.03098356204221134,494021,4,mse,nadam,tanh,2,4,1024,0.2,CuDNNLSTM,standarscaler
8,0.9765394588480708,0.011099489503743313,0.9172167225154073,0.03066510447559953,494021,4,mse,nadam,tanh,2,4,1024,0.2,CuDNNLSTM,standarscaler
9,0.9766001849995889,0.011039702766267097,0.9178018769543824,0.030809839423427812,494021,4,mse,nadam,tanh,2,4,1024,0.2,CuDNNLSTM,standarscaler
10,0.9770981395502384,0.010801607477817988,0.9177986618201023,0.03071469343783738,494021,4,mse,nadam,tanh,2,4,1024,0.2,CuDNNLSTM,standarscaler
11,0.9777742241487675,0.010523559003291225,0.9178822553113845,0.030771705941721454,494021,4,mse,nadam,tanh,2,4,1024,0.2,CuDNNLSTM,standarscaler
12,0.9776669413035388,0.010477287873425865,0.9179047612513451,0.03078192597258147,494021,4,mse,nadam,tanh,2,4,1024,0.2,CuDNNLSTM,standarscaler
13,0.9779685479043035,0.010424752131958972,0.9201778611873639,0.030820277473939957,494021,4,mse,nadam,tanh,2,4,1024,0.2,CuDNNLSTM,standarscaler
14,0.9783976794269844,0.010369824797624955,0.9207694458948992,0.030654982459522848,494021,4,mse,nadam,tanh,2,4,1024,0.2,CuDNNLSTM,standarscaler
15,0.9787863269064456,0.010093305328546893,0.9207501550892188,0.03064230562587543,494021,4,mse,nadam,tanh,2,4,1024,0.2,CuDNNLSTM,standarscaler
16,0.9785231802083627,0.00971926707804232,0.920763015626339,0.030670247410646344,494021,4,mse,nadam,tanh,2,4,1024,0.2,CuDNNLSTM,standarscaler
17,0.978488768695223,0.009638304393032806,0.920759800492059,0.030647647785790044,494021,4,mse,nadam,tanh,2,4,1024,0.2,CuDNNLSTM,standarscaler
18,0.978334929091373,0.009612535353565009,0.9207758761634594,0.030471205204613806,494021,4,mse,nadam,tanh,2,4,1024,0.2,CuDNNLSTM,standarscaler
19,0.9786243904705451,0.00954355471248521,0.9206922826721772,0.03056214407748016,494021,4,mse,nadam,tanh,2,4,1024,0.2,CuDNNLSTM,standarscaler
20,0.9788146657724728,0.00946279226897316,0.9206440556579759,0.03068397698958064,494021,4,mse,nadam,tanh,2,4,1024,0.2,CuDNNLSTM,standarscaler
21,0.9780778550096364,0.009533223780330368,0.9195830613455485,0.030775823243061363,494021,4,mse,nadam,tanh,2,4,1024,0.2,CuDNNLSTM,standarscaler
22,0.9765050473648528,0.009187450736824527,0.9196152126883493,0.03130021161251566,494021,4,mse,nadam,tanh,2,4,1024,0.2,CuDNNLSTM,standarscaler
23,0.9748856830066923,0.009052832086359087,0.9196441488968701,0.03125005182923995,494021,4,mse,nadam,tanh,2,4,1024,0.2,CuDNNLSTM,standarscaler
24,0.9748128115994371,0.008928543308339884,0.9196473640311502,0.030962164029533164,494021,4,mse,nadam,tanh,2,4,1024,0.2,CuDNNLSTM,standarscaler
25,0.974764230646467,0.00888827768369676,0.9197116667167519,0.031118870027192158,494021,4,mse,nadam,tanh,2,4,1024,0.2,CuDNNLSTM,standarscaler
26,0.9751812170013662,0.008768054358822773,0.9196859456425112,0.03091647626696949,494021,4,mse,nadam,tanh,2,4,1024,0.2,CuDNNLSTM,standarscaler
27,0.9754727025543762,0.008676376430527329,0.9196730851053908,0.030951563327175885,494021,4,mse,nadam,tanh,2,4,1024,0.2,CuDNNLSTM,standarscaler
28,0.9759625603165306,0.00861687114104214,0.9196634397025506,0.030937851731690523,494021,4,mse,nadam,tanh,2,4,1024,0.2,CuDNNLSTM,standarscaler
29,0.9758795678931317,0.008738920695232135,0.9196923759110713,0.03074301999888752,494021,4,mse,nadam,tanh,2,4,1024,0.2,CuDNNLSTM,standarscaler
30,0.9769766872463576,0.008383891304493803,0.9197245272538722,0.030594177004162313,494021,4,mse,nadam,tanh,2,4,1024,0.2,CuDNNLSTM,standarscaler
31,0.9776932559308172,0.008192403296291074,0.9197695391337933,0.030688115227819193,494021,4,mse,nadam,tanh,2,4,1024,0.2,CuDNNLSTM,standarscaler
32,0.9776993285582636,0.008229196332853404,0.9197309575224323,0.030609596465380855,494021,4,mse,nadam,tanh,2,4,1024,0.2,CuDNNLSTM,standarscaler
33,0.9777438611105915,0.00822596449727601,0.9198049056108742,0.030558157433313422,494021,4,mse,nadam,tanh,2,4,1024,0.2,CuDNNLSTM,standarscaler
34,0.978164895812322,0.008168403558018775,0.9197888299394739,0.030486279592869238,494021,4,mse,nadam,tanh,2,4,1024,0.2,CuDNNLSTM,standarscaler
35,0.9778147082688426,0.008130635986681109,0.9197823996709137,0.030406239902423006,494021,4,mse,nadam,tanh,2,4,1024,0.2,CuDNNLSTM,standarscaler
36,0.9780029593764216,0.008154128186214468,0.9197856148051937,0.030263177851243318,494021,4,mse,nadam,tanh,2,4,1024,0.2,CuDNNLSTM,standarscaler
37,0.9782640819117665,0.008136399430621215,0.9198081207451543,0.030141836728968967,494021,4,mse,nadam,tanh,2,4,1024,0.2,CuDNNLSTM,standarscaler
38,0.97820942833135,0.008106498681494666,0.9197984753423141,0.030334057509270825,494021,4,mse,nadam,tanh,2,4,1024,0.2,CuDNNLSTM,standarscaler
39,0.9780859518314313,0.008145031691774149,0.9198177661479946,0.03003953431417731,494021,4,mse,nadam,tanh,2,4,1024,0.2,CuDNNLSTM,standarscaler
40,0.9782822997497053,0.008105385620046434,0.9198402720879552,0.0296486169270155,494021,4,mse,nadam,tanh,2,4,1024,0.2,CuDNNLSTM,standarscaler
41,0.9787134554769904,0.008069479831040338,0.9198563477593555,0.029827851605796596,494021,4,mse,nadam,tanh,2,4,1024,0.2,CuDNNLSTM,standarscaler
42,0.9784219699043141,0.008089632074713828,0.9198499174907954,0.02997781775385027,494021,4,mse,nadam,tanh,2,4,1024,0.2,CuDNNLSTM,standarscaler
43,0.978891585600881,0.008034589347537894,0.9198659931621959,0.02978483417881089,494021,4,mse,nadam,tanh,2,4,1024,0.2,CuDNNLSTM,standarscaler
44,0.9788430046487554,0.008010925922460894,0.9198884991021564,0.02972070137337092,494021,4,mse,nadam,tanh,2,4,1024,0.2,CuDNNLSTM,standarscaler
45,0.978766084840858,0.007974795395993968,0.9198852839678763,0.029622850670471396,494021,4,mse,nadam,tanh,2,4,1024,0.2,CuDNNLSTM,standarscaler
46,0.9787762058903018,0.007950532703276364,0.9198595628936357,0.02961678708573903,494021,4,mse,nadam,tanh,2,4,1024,0.2,CuDNNLSTM,standarscaler
47,0.9786810682120103,0.00792626044565473,0.9198692082964759,0.028936117789043474,494021,4,mse,nadam,tanh,2,4,1024,0.2,CuDNNLSTM,standarscaler
48,0.97873774594322,0.007966576514445406,0.9198659931621959,0.029472303969739943,494021,4,mse,nadam,tanh,2,4,1024,0.2,CuDNNLSTM,standarscaler
49,0.9786628503518715,0.007968806048147897,0.9199302958477975,0.02926251430401026,494021,4,mse,nadam,tanh,2,4,1024,0.2,CuDNNLSTM,standarscaler
50,0.9791547322656639,0.007950375706944965,0.9198627780279157,0.029147878076727297,494021,4,mse,nadam,tanh,2,4,1024,0.2,CuDNNLSTM,standarscaler
51,0.9791041271713112,0.007930721507741559,0.9198531326250755,0.029063410309269986,494021,4,mse,nadam,tanh,2,4,1024,0.2,CuDNNLSTM,standarscaler
52,0.9794219273959996,0.007889539185182573,0.9198917142364365,0.028859015400706463,494021,4,mse,nadam,tanh,2,4,1024,0.2,CuDNNLSTM,standarscaler
53,0.9796688804821033,0.007904512077073147,0.9199142201763971,0.02879692602853538,494021,4,mse,nadam,tanh,2,4,1024,0.2,CuDNNLSTM,standarscaler
54,0.9797235340394752,0.007891379570906739,0.9198917142364365,0.028760689720566054,494021,4,mse,nadam,tanh,2,4,1024,0.2,CuDNNLSTM,standarscaler
55,0.9799684628552193,0.007822331515245104,0.9198563477593555,0.02857679018432855,494021,4,mse,nadam,tanh,2,4,1024,0.2,CuDNNLSTM,standarscaler
56,0.9799684628996193,0.007839548945371772,0.9198627780279157,0.02868607840840224,494021,4,mse,nadam,tanh,2,4,1024,0.2,CuDNNLSTM,standarscaler
57,0.9798490347559426,0.007833452069297902,0.9198402720879552,0.028559951027270214,494021,4,mse,nadam,tanh,2,4,1024,0.2,CuDNNLSTM,standarscaler
58,0.9802720937058327,0.007793651964288101,0.9198949293707166,0.028663588297462485,494021,4,mse,nadam,tanh,2,4,1024,0.2,CuDNNLSTM,standarscaler
59,0.979737703456261,0.007755758693447016,0.9213513851995943,0.028024209600349112,494021,4,mse,nadam,tanh,2,4,1024,0.2,CuDNNLSTM,standarscaler
60,0.9818064414137899,0.007251962413068106,0.9197406029252726,0.029322442510640638,494021,4,mse,nadam,tanh,2,4,1024,0.2,CuDNNLSTM,standarscaler
61,0.9821404353136792,0.007316688812289534,0.9248687421020053,0.027655084908792198,494021,4,mse,nadam,tanh,2,4,1024,0.2,CuDNNLSTM,standarscaler
62,0.9832922082140215,0.006903583671078528,0.925087371233051,0.028004938595324533,494021,4,mse,nadam,tanh,2,4,1024,0.2,CuDNNLSTM,standarscaler
63,0.9835229676676351,0.006800067271412599,0.924743351865082,0.027847454672306673,494021,4,mse,nadam,tanh,2,4,1024,0.2,CuDNNLSTM,standarscaler
64,0.9839500749848673,0.006795438681244221,0.9248623118334451,0.0276996588795334,494021,4,mse,nadam,tanh,2,4,1024,0.2,CuDNNLSTM,standarscaler
65,0.9830148920897419,0.007110708448675322,0.924778718342163,0.027535633647534596,494021,4,mse,nadam,tanh,2,4,1024,0.2,CuDNNLSTM,standarscaler
66,0.9842091733045081,0.0066261964171718205,0.9249651961304078,0.027759337359133957,494021,4,mse,nadam,tanh,2,4,1024,0.2,CuDNNLSTM,standarscaler
67,0.984338722463484,0.006599025807254542,0.9250680804273704,0.027800859201912775,494021,4,mse,nadam,tanh,2,4,1024,0.2,CuDNNLSTM,standarscaler
68,0.9831262233988344,0.0070447025497250345,0.9197856148051937,0.02927886343977124,494021,4,mse,nadam,tanh,2,4,1024,0.2,CuDNNLSTM,standarscaler
69,0.9837233639635067,0.0067379835109467575,0.9249459053247273,0.02774091889052631,494021,4,mse,nadam,tanh,2,4,1024,0.2,CuDNNLSTM,standarscaler
70,0.9842395363751395,0.0065843883858377125,0.9248848177734057,0.027726894232149156,494021,4,mse,nadam,tanh,2,4,1024,0.2,CuDNNLSTM,standarscaler
71,0.9843103835650013,0.006546064424980301,0.9250552198902501,0.027654071708103474,494021,4,mse,nadam,tanh,2,4,1024,0.2,CuDNNLSTM,standarscaler
72,0.9842132216812611,0.006566362802195989,0.9249523355932875,0.027618389133093887,494021,4,mse,nadam,tanh,2,4,1024,0.2,CuDNNLSTM,standarscaler
73,0.9838954214480063,0.006662184878044316,0.9249780566675281,0.027718396725516688,494021,4,mse,nadam,tanh,2,4,1024,0.2,CuDNNLSTM,standarscaler
74,0.9845107798941728,0.0064650816311543164,0.9249137539819264,0.027869658080682636,494021,4,mse,nadam,tanh,2,4,1024,0.2,CuDNNLSTM,standarscaler
75,0.9832071916176292,0.0069516656412496915,0.9249041085790862,0.027749006546134842,494021,4,mse,nadam,tanh,2,4,1024,0.2,CuDNNLSTM,standarscaler
76,0.9844783926172481,0.00640197935801023,0.9248398058934846,0.027823955697833046,494021,4,mse,nadam,tanh,2,4,1024,0.2,CuDNNLSTM,standarscaler
77,0.9801000362537884,0.008005155272319028,0.919984953130559,0.028523498921960506,494021,4,mse,nadam,tanh,2,4,1024,0.2,CuDNNLSTM,standarscaler
78,0.98061823282647,0.007499769563214962,0.9232997565733247,0.028601129251924397,494021,4,mse,nadam,tanh,2,4,1024,0.2,CuDNNLSTM,standarscaler
79,0.9832233852176638,0.006697343390685959,0.9247594275364824,0.02771022589592637,494021,4,mse,nadam,tanh,2,4,1024,0.2,CuDNNLSTM,standarscaler
80,0.9843002625386021,0.006457902048693675,0.9247722880736028,0.02772751073716938,494021,4,mse,nadam,tanh,2,4,1024,0.2,CuDNNLSTM,standarscaler
81,0.984563409223896,0.006427576163205983,0.9250359290845697,0.027608540831107642,494021,4,mse,nadam,tanh,2,4,1024,0.2,CuDNNLSTM,standarscaler
82,0.9847273699096452,0.006337210657587385,0.9234058560045675,0.02792758975102055,494021,4,mse,nadam,tanh,2,4,1024,0.2,CuDNNLSTM,standarscaler
83,0.9858730701722858,0.0059976353745764596,0.9233544138560861,0.029032638162488807,494021,4,mse,nadam,tanh,2,4,1024,0.2,CuDNNLSTM,standarscaler
84,0.9859520141839426,0.005837965861951928,0.9250391442188497,0.028971636617465085,494021,4,mse,nadam,tanh,2,4,1024,0.2,CuDNNLSTM,standarscaler
85,0.9862576692186494,0.005752532370461842,0.9233319079161255,0.029134304696411012,494021,4,mse,nadam,tanh,2,4,1024,0.2,CuDNNLSTM,standarscaler
86,0.9861443137126745,0.005767068640172811,0.9250455744874099,0.02898372210596197,494021,4,mse,nadam,tanh,2,4,1024,0.2,CuDNNLSTM,standarscaler
87,0.9862232577038206,0.00572813116144176,0.92505200475597,0.029108794847983156,494021,4,mse,nadam,tanh,2,4,1024,0.2,CuDNNLSTM,standarscaler
88,0.9864196056315053,0.005692269642668114,0.9250455744874099,0.029167826295578004,494021,4,mse,nadam,tanh,2,4,1024,0.2,CuDNNLSTM,standarscaler
89,0.9864661623798713,0.005654639629743337,0.9249973474732086,0.029163310760391983,494021,4,mse,nadam,tanh,2,4,1024,0.2,CuDNNLSTM,standarscaler
90,0.9865370095586332,0.005629835954797802,0.9250552198902501,0.029237875862584313,494021,4,mse,nadam,tanh,2,4,1024,0.2,CuDNNLSTM,standarscaler
91,0.9863912667663227,0.005622675334662272,0.9248526664306049,0.029171468145309735,494021,4,mse,nadam,tanh,2,4,1024,0.2,CuDNNLSTM,standarscaler
92,0.9863366132303063,0.005633460939136744,0.9250616501588103,0.02910854428530251,494021,4,mse,nadam,tanh,2,4,1024,0.2,CuDNNLSTM,standarscaler
93,0.9867596721690963,0.005553987071597943,0.9250680804273704,0.02899314350675845,494021,4,mse,nadam,tanh,2,4,1024,0.2,CuDNNLSTM,standarscaler
94,0.9867677689797915,0.005495300575804558,0.9234412224816484,0.02904347593114401,494021,4,mse,nadam,tanh,2,4,1024,0.2,CuDNNLSTM,standarscaler
95,0.9865430821860794,0.005564228790966608,0.9233576289903662,0.029315594682251155,494021,4,mse,nadam,tanh,2,4,1024,0.2,CuDNNLSTM,standarscaler
96,0.9865795178628016,0.005533243283395737,0.9248430210277646,0.02898020892615027,494021,4,mse,nadam,tanh,2,4,1024,0.2,CuDNNLSTM,standarscaler
97,0.9867029943840758,0.005455444200215651,0.9234508678844886,0.02860529299418525,494021,4,mse,nadam,tanh,2,4,1024,0.2,CuDNNLSTM,standarscaler
98,0.9865835662847992,0.0054119842175626,0.9234540830187686,0.028185632304623846,494021,4,mse,nadam,tanh,2,4,1024,0.2,CuDNNLSTM,standarscaler
99,0.9869641169313653,0.005375638755392981,0.9246308221652791,0.027952377851584675,494021,4,mse,nadam,tanh,2,4,1024,0.2,CuDNNLSTM,standarscaler
0,0.8342782998958495,0.060883119063173646,0.8679769410569432,0.04289031741981909,494021,4,mse,nadam,tanh,2,4,1024,0.2,CuDNNLSTM,standarscaler
1,0.9680317233674592,0.01673293195573172,0.9149596982507888,0.029025523854393078,494021,4,mse,nadam,tanh,2,4,1024,0.2,CuDNNLSTM,standarscaler
2,0.9765819671513947,0.012332780325233142,0.9145996032114195,0.030458499627003893,494021,4,mse,nadam,tanh,2,4,1024,0.2,CuDNNLSTM,standarscaler
3,0.9805696518854444,0.01156660153280104,0.9151365306361934,0.03086230656565423,494021,4,mse,nadam,tanh,2,4,1024,0.2,CuDNNLSTM,standarscaler
4,0.98196028101764,0.011382609050646496,0.9149822041907494,0.03108562885259884,494021,4,mse,nadam,tanh,2,4,1024,0.2,CuDNNLSTM,standarscaler
5,0.982494671277467,0.01114707761885012,0.914962913385069,0.03103527580527471,494021,4,mse,nadam,tanh,2,4,1024,0.2,CuDNNLSTM,standarscaler
6,0.9825958815396494,0.011354085176667198,0.915197618187515,0.03092331933260759,494021,4,mse,nadam,tanh,2,4,1024,0.2,CuDNNLSTM,standarscaler
7,0.9838994698708484,0.011003048107022684,0.9151461760390337,0.03083647975348801,494021,4,mse,nadam,tanh,2,4,1024,0.2,CuDNNLSTM,standarscaler
8,0.9839359055791814,0.010924985734828224,0.9151783273818345,0.03091237269503711,494021,4,mse,nadam,tanh,2,4,1024,0.2,CuDNNLSTM,standarscaler
9,0.9839642444341086,0.010923109190229532,0.9151043792933926,0.03089963630825333,494021,4,mse,nadam,tanh,2,4,1024,0.2,CuDNNLSTM,standarscaler
10,0.9830756182643046,0.011183339091083459,0.9143777590014769,0.03118910581034752,494021,4,mse,nadam,tanh,2,4,1024,0.2,CuDNNLSTM,standarscaler
11,0.9838063564313057,0.010791850705542132,0.9144452767659755,0.029871827742523907,494021,4,mse,nadam,tanh,2,4,1024,0.2,CuDNNLSTM,standarscaler
12,0.9852212760066862,0.010069378361938327,0.9162939790324065,0.0290553465394689,494021,4,mse,nadam,tanh,2,4,1024,0.2,CuDNNLSTM,standarscaler
13,0.9865977357118405,0.009647940909881976,0.9157699120893699,0.029605360178409538,494021,4,mse,nadam,tanh,2,4,1024,0.2,CuDNNLSTM,standarscaler
14,0.9871867795196285,0.009448210440168966,0.9161171465916188,0.03026456232804858,494021,4,mse,nadam,tanh,2,4,1024,0.2,CuDNNLSTM,standarscaler
15,0.9874276599347306,0.009360013270667388,0.9150947338905523,0.030079853340560687,494021,4,mse,nadam,tanh,2,4,1024,0.2,CuDNNLSTM,standarscaler
16,0.9876300805009616,0.009272330363291897,0.9151043792933926,0.030003078486930946,494021,4,mse,nadam,tanh,2,4,1024,0.2,CuDNNLSTM,standarscaler
17,0.9876017416477235,0.009199112535212401,0.9151365306361934,0.02998900870485832,494021,4,mse,nadam,tanh,2,4,1024,0.2,CuDNNLSTM,standarscaler
18,0.9877090244921076,0.009092787803684634,0.9151526063075939,0.029854821120270634,494021,4,mse,nadam,tanh,2,4,1024,0.2,CuDNNLSTM,standarscaler
19,0.9877980895540529,0.008909240115614208,0.9176282597032579,0.028700972868465627,494021,4,mse,nadam,tanh,2,4,1024,0.2,CuDNNLSTM,standarscaler
20,0.9882009064272554,0.008631746839872348,0.9159563898776146,0.028977373376696564,494021,4,mse,nadam,tanh,2,4,1024,0.2,CuDNNLSTM,standarscaler
21,0.9887393451099246,0.008475301927617942,0.9160174774289362,0.028664516228882272,494021,4,mse,nadam,tanh,2,4,1024,0.2,CuDNNLSTM,standarscaler
22,0.9890470243048355,0.008445153751241531,0.9175092997348948,0.028309195843768224,494021,4,mse,nadam,tanh,2,4,1024,0.2,CuDNNLSTM,standarscaler
23,0.989200863918941,0.008443330796956522,0.9157924180293304,0.028670937786561525,494021,4,mse,nadam,tanh,2,4,1024,0.2,CuDNNLSTM,standarscaler
24,0.9894053086803654,0.008345250864793008,0.9147925112682245,0.029002888364839035,494021,4,mse,nadam,tanh,2,4,1024,0.2,CuDNNLSTM,standarscaler
25,0.9895308094070883,0.008293200921076181,0.9147828658653843,0.028910382299010065,494021,4,mse,nadam,tanh,2,4,1024,0.2,CuDNNLSTM,standarscaler
26,0.9887899502128434,0.008529899735077043,0.9148278777453055,0.029191160418820444,494021,4,mse,nadam,tanh,2,4,1024,0.2,CuDNNLSTM,standarscaler
27,0.9892919531965904,0.008414231950963863,0.9146864118369817,0.0290818202011845,494021,4,mse,nadam,tanh,2,4,1024,0.2,CuDNNLSTM,standarscaler
28,0.9224607860876657,0.02502623164582153,0.9148343080138656,0.02810897810517226,494021,4,mse,nadam,tanh,2,4,1024,0.2,CuDNNLSTM,standarscaler
29,0.9801870770769849,0.011726551052430558,0.9178758250428243,0.02740932682440813,494021,4,mse,nadam,tanh,2,4,1024,0.2,CuDNNLSTM,standarscaler
30,0.9856666012045681,0.00987399609007226,0.9178951158485048,0.02730741827807647,494021,4,mse,nadam,tanh,2,4,1024,0.2,CuDNNLSTM,standarscaler
31,0.9865370095586332,0.009570560643375749,0.9181137449795505,0.027585490067920004,494021,4,mse,nadam,tanh,2,4,1024,0.2,CuDNNLSTM,standarscaler
32,0.9869681652978629,0.009344061154605184,0.9180719482339094,0.027597792046487366,494021,4,mse,nadam,tanh,2,4,1024,0.2,CuDNNLSTM,standarscaler
33,0.9873568127448686,0.009131385818493985,0.9164483054224674,0.027993968122293225,494021,4,mse,nadam,tanh,2,4,1024,0.2,CuDNNLSTM,standarscaler
34,0.987514700769027,0.009062012307091171,0.9151493911733137,0.028992166303812912,494021,4,mse,nadam,tanh,2,4,1024,0.2,CuDNNLSTM,standarscaler
35,0.9874721924870585,0.008975306012787558,0.9164579508253077,0.028349173885268194,494021,4,mse,nadam,tanh,2,4,1024,0.2,CuDNNLSTM,standarscaler
36,0.9876462741453962,0.008844813680534821,0.9164547356910275,0.028542227024334427,494021,4,mse,nadam,tanh,2,4,1024,0.2,CuDNNLSTM,standarscaler
37,0.9877333150010481,0.008792783695739378,0.9164643810938677,0.02873088370964642,494021,4,mse,nadam,tanh,2,4,1024,0.2,CuDNNLSTM,standarscaler
38,0.9881320834308976,0.008731387323036736,0.9163775724683055,0.02874145480327691,494021,4,mse,nadam,tanh,2,4,1024,0.2,CuDNNLSTM,standarscaler
39,0.9883466492520212,0.0086990159407486,0.921496066242198,0.02881739280717371,494021,4,mse,nadam,tanh,2,4,1024,0.2,CuDNNLSTM,standarscaler
40,0.9885632392350382,0.008664530458483968,0.9205476016295735,0.029056198402853915,494021,4,mse,nadam,tanh,2,4,1024,0.2,CuDNNLSTM,standarscaler
41,0.9889114025619689,0.008596943166430898,0.9229621674739159,0.028170328655474454,494021,4,mse,nadam,tanh,2,4,1024,0.2,CuDNNLSTM,standarscaler
42,0.9884600047246962,0.008547240985279097,0.9214928511079179,0.02866596503981587,494021,4,mse,nadam,tanh,2,4,1024,0.2,CuDNNLSTM,standarscaler
43,0.987980268044441,0.008508441093292485,0.9215475083906793,0.027828109269250938,494021,4,mse,nadam,tanh,2,4,1024,0.2,CuDNNLSTM,standarscaler
44,0.9878750093722056,0.008398289160228428,0.9215603689277997,0.02771418993129788,494021,4,mse,nadam,tanh,2,4,1024,0.2,CuDNNLSTM,standarscaler
45,0.9888871120957392,0.008125698452221884,0.9204993746153722,0.027873119771518122,494021,4,mse,nadam,tanh,2,4,1024,0.2,CuDNNLSTM,standarscaler
46,0.9891563314315237,0.00786815925097278,0.9192583327832601,0.027472258507154883,494021,4,mse,nadam,tanh,2,4,1024,0.2,CuDNNLSTM,standarscaler
47,0.9884093996209327,0.008126438189173786,0.9205411713610133,0.02744952205925919,494021,4,mse,nadam,tanh,2,4,1024,0.2,CuDNNLSTM,standarscaler
48,0.9894721074712743,0.007710998510116667,0.9186538875386044,0.027541542561517474,494021,4,mse,nadam,tanh,2,4,1024,0.2,CuDNNLSTM,standarscaler
49,0.9897757382552878,0.007609221710417069,0.9182423503507539,0.02773798859098019,494021,4,mse,nadam,tanh,2,4,1024,0.2,CuDNNLSTM,standarscaler
50,0.9896907216597399,0.007495564974304787,0.9181266055166708,0.027467844147182143,494021,4,mse,nadam,tanh,2,4,1024,0.2,CuDNNLSTM,standarscaler
51,0.9895996323820905,0.007395221095706657,0.917978709339787,0.02742435152474546,494021,4,mse,nadam,tanh,2,4,1024,0.2,CuDNNLSTM,standarscaler
52,0.9876847340378225,0.007084779362442679,0.9185092064960008,0.02764408983915483,494021,4,mse,nadam,tanh,2,4,1024,0.2,CuDNNLSTM,standarscaler
53,0.9853629703769992,0.00642647061299805,0.9193805078859033,0.028476520517160136,494021,4,mse,nadam,tanh,2,4,1024,0.2,CuDNNLSTM,standarscaler
54,0.9853265346908662,0.00623084803737549,0.9213867516766752,0.028715760145768758,494021,4,mse,nadam,tanh,2,4,1024,0.2,CuDNNLSTM,standarscaler
55,0.9856261171186375,0.006094833444736689,0.9213642457367146,0.029083445604740785,494021,4,mse,nadam,tanh,2,4,1024,0.2,CuDNNLSTM,standarscaler
56,0.9858406828842611,0.0059313532912758,0.9213963970795155,0.028952192450181866,494021,4,mse,nadam,tanh,2,4,1024,0.2,CuDNNLSTM,standarscaler
57,0.9858710459557369,0.005871099341786601,0.9214478392279968,0.0289048680774287,494021,4,mse,nadam,tanh,2,4,1024,0.2,CuDNNLSTM,standarscaler
58,0.9861807494107521,0.005782411606858105,0.9208691150575817,0.029009529237960997,494021,4,mse,nadam,tanh,2,4,1024,0.2,CuDNNLSTM,standarscaler
59,0.9860552486413183,0.005785039103302991,0.9226792356572686,0.028365052964725385,494021,4,mse,nadam,tanh,2,4,1024,0.2,CuDNNLSTM,standarscaler
60,0.9859904740772136,0.005763438330211052,0.919676300239671,0.029059355357037363,494021,4,mse,nadam,tanh,2,4,1024,0.2,CuDNNLSTM,standarscaler
61,0.9863649521176889,0.005676910173099724,0.921843300744447,0.028806205961272882,494021,4,mse,nadam,tanh,2,4,1024,0.2,CuDNNLSTM,standarscaler
62,0.9865835663061546,0.005610636536602668,0.9243028784687106,0.028315423858946472,494021,4,mse,nadam,tanh,2,4,1024,0.2,CuDNNLSTM,standarscaler
63,0.9864985496448514,0.005641559704985944,0.9250359290845697,0.028230518245513456,494021,4,mse,nadam,tanh,2,4,1024,0.2,CuDNNLSTM,standarscaler
64,0.9867758657810756,0.005593049516411244,0.9222805590065383,0.029115217250137524,494021,4,mse,nadam,tanh,2,4,1024,0.2,CuDNNLSTM,standarscaler
65,0.9869458990814819,0.00550724577128994,0.9232708203648039,0.02878540953320021,494021,4,mse,nadam,tanh,2,4,1024,0.2,CuDNNLSTM,standarscaler
66,0.9868345677715449,0.0055462657544525125,0.9232450992905633,0.028868139567338167,494021,4,mse,nadam,tanh,2,4,1024,0.2,CuDNNLSTM,standarscaler
67,0.9868912455019101,0.005485225914768124,0.9221744595752955,0.028911240389855923,494021,4,mse,nadam,tanh,2,4,1024,0.2,CuDNNLSTM,standarscaler
68,0.9868386161602425,0.005513751883679809,0.923232238753443,0.02903103993568066,494021,4,mse,nadam,tanh,2,4,1024,0.2,CuDNNLSTM,standarscaler
69,0.9869924557632479,0.005458618430889961,0.9222194714552168,0.029221899239605963,494021,4,mse,nadam,tanh,2,4,1024,0.2,CuDNNLSTM,standarscaler
70,0.9869762621418579,0.005448738586704891,0.9222516227980175,0.028995542067248064,494021,4,mse,nadam,tanh,2,4,1024,0.2,CuDNNLSTM,standarscaler
71,0.986953995881077,0.005439654447189685,0.9247722880736028,0.02832741712684023,494021,4,mse,nadam,tanh,2,4,1024,0.2,CuDNNLSTM,standarscaler
